"ID","登记人","填写日期","产品型号","问题分类","问题","答案","来源备注","图片","视频","问题的英文翻译","问题的中文翻译","推荐问题分类"
"128","王光琼","2026/07/14","FLC-220V","安装接线","La luce si spegne quando parte il ventilatore, che ha una sola velocità, sempre la stessa quale che sia il pulsante premuto.Se si tenta di riaccendere la luce non si accende finché vanno le pale.Sottolineo che è stato montato professionalmente rispettando anche fase e neutro.Ma anche scambiando fase e neutro continua a non funzionare.Sconsiglio l'acquisto, costa poco ma vale niente. Una vera ciofeca e secondo me lo sanno, sarà un lotto difettoso che scaricano su Amazon (che non è il venditore, precisiamolo).Diversamente onesti.","","","","","The light turns off when the fan starts. The fan has only one speed, regardless of which speed button I press. If I try to turn the light on again, it will not turn on while the blades are running. It was professionally installed with live and neutral connected correctly. Swapping live and neutral did not help. I do not recommend it. It is cheap but worthless. I believe this may be a defective batch being sold through Amazon.","风扇启动时，灯会熄灭。无论按哪个速度按钮，风扇始终只有一个速度。扇叶转动时，如果尝试重新开灯，灯也不会亮。安装由专业人员完成，火线和零线也按要求连接；即使交换火线和零线，问题仍然存在。我不推荐购买。它虽然便宜，但毫无价值。我认为这可能是一批通过 Amazon 销售的缺陷产品。","故障排除"
"129","王光琼","2026/07/14","FLC-220V","安装接线","Remplacement et installation OK. 2 jours après sur coupure secteur  et retour du courant les lampes restent alumées. Remote inactive. le re-pairing n'y fait rien le module est en panne. Je le renvois.","","","","","Replacement and installation were successful. Two days later, after a power cut and power restoration, the lights stayed on and the remote stopped responding. Pairing again did not help. The module has failed, and I am returning it.","更换和安装都顺利完成。两天后经历一次断电和恢复供电，灯一直亮着，遥控器也失去响应。重新配对没有作用，模块已经故障，我将退货。","故障排除"
"132","王光琼","2026/07/14","FLC-220V","兼容性","Purtroppo l'elettricista ha fatto fatica ad inserire la cassetta del telecomando in quanto grande in confronto allo spazio della plafoniera","","","","","Unfortunately, the electrician had difficulty fitting the remote-control box because it was large compared with the available space in the ceiling light fitting.","遗憾的是，遥控接收盒相对于吸顶灯盘内的空间太大，电工安装时很难把它放进去。","产品适配"
"133","王光琼","2026/07/14","FLC-220V","故障排除","La velocità minima sulla mia vortice da soffitto è troppo veloce. il Beep è fastidioso e non si può spegnere. Per il resto, a distanza di un paio di mesi, funziona bene.","","","","","The minimum speed is too fast on my Vortice ceiling fan. The beep is annoying and cannot be disabled. Apart from that, it has worked well for a couple of months.","在我的 Vortice 吊扇上，最低档速度太快。蜂鸣声很烦人，而且无法关闭。除此之外，使用两个月左右一直正常。","故障排除"
"134","王光琼","2026/07/14","FLC-220V","故障排除","La función STOP NO FUNCIONA, todo lo demás funciona perfectamente pero el botón Stop No para el ventilador, alguien más le sucede esto?","","","","","The STOP function does not work. Everything else works perfectly, but pressing STOP does not stop the fan. Has anyone else had this problem?","STOP 停止功能不起作用。其他功能都完全正常，但按下 STOP 按钮无法停止风扇。还有其他人遇到过这个问题吗？","故障排除"
"135","王光琼","2026/07/14","FLC-220V","故障排除","Pas de place pour l'installer dans le ventilateur 5 palles ? Pas de français dans la notice. L'installation est problématique. Court-circuit, à l'interrupteur qui déclenche les fusibles. De ce fait aucune télécommande d'installée, en attendant un professionnel ?","","","","","There is no room to install it in my five-blade fan. The instructions are not available in French, and installation is difficult. A short circuit at the switch trips the fuse. Therefore, I have not installed the remote and am waiting for a professional.","我的五叶风扇内没有空间安装它。说明书没有法语版本，安装也很困难。开关处发生短路并导致保险丝跳闸。因此，我尚未安装遥控器，正在等待专业人员处理。","安装设置"
"136","王光琼","2026/07/14","FLC-220V","故障排除","Pues pedi para reemplazar el de mi ventilador. Todo funciona ok...pero al dejar la luz encendida  le llega algo de corriente residual al motor y lo hace girar muy lentamente. Si apago la luz con el mando sigue girando el ventilador muy lentamente. Solo se para cortando luz con interruptor. Lo cambiaria por otro, pero estamos en plena ola de calor y no me quiero quedar sin ventilador. El aparato negro suena al moverlo, hay cosas sueltas dentro.","","","","","I ordered it to replace my fan receiver. Everything works, but when the light is left on, some residual current reaches the motor and makes it rotate very slowly. If I turn off the light with the remote, the fan still rotates very slowly. It stops only when I cut power at the wall switch. I would replace it, but I do not want to be without a fan during the heat wave. The black unit rattles when moved, as if parts are loose inside.","我购买它来替换风扇原接收器。所有功能都能工作，但开灯时似乎有残余电流流入电机，使风扇非常缓慢地转动。即使用遥控器关灯，风扇仍会缓慢转动，只有切断墙壁开关电源才会停止。我本想更换，但正值热浪，不想没有风扇可用。移动黑色接收盒时会发出响声，像是内部有零件松动。","故障排除"
"138","王光琼","2026/07/14","FLC-220V","故障排除","Hola, en teoría lo tengo todo bien instalado! Pero no funcionan las velocidades solo tiene una posición... Y no consigo hacer que funcione la bombilla y el ventilador a la vez... Con el original se apagaba con el boton stop pero con este el ventilador se enciende con el botón de la luz... He probado los cables de todas las maneras y nada... Espero respuesta","","","","","Hello. In theory, everything is installed correctly. However, the speed settings do not work, and the fan has only one speed. I also cannot make the light and fan work at the same time. With the original controller, the fan stopped with STOP, but with this controller the fan turns on when I press the light button. I tried every wire arrangement without success. I await your reply.","你好。理论上所有接线都安装正确，但速度档位不起作用，风扇只有一个速度。我也无法让灯和风扇同时工作。原装控制器可以用 STOP 按钮关闭风扇，但换成这个控制器后，按灯光按钮反而会启动风扇。我尝试了各种接线方式，仍然无效。期待回复。","故障排除"
"140","王光琼","2026/07/14","FLC-220V","故障排除","Hace su función porque el ventilador funciona, pero solo tiene una velocidad y no tres como dice porque las tres van a la misma velocidad que es la máxima del ventilador y el ruido y el flujo de aire de demasiado grande sobre todo para dormir así que no me ha gustado nada","","","","","The fan runs, but it has only one speed instead of the advertised three. All three settings run at the fan's maximum speed, producing too much noise and airflow, especially for sleeping. I do not like the product.","风扇能运行，但并没有所称的三档速度，实际上只有一个速度。三个档位都以风扇最高速运行，噪声和风量都太大，尤其不适合睡觉时使用。我不喜欢这个产品。","故障排除"
"141","王光琼","2026/07/14","FLC-220V","故障排除","Non so neanche se funzioni, uno degli acquisti più inutili che abbia mai fatto, è troppo grande il case di plastica e anche la scheda all'interno per essere posizionato all'interno di qualsiasi coperchio di ventilatore da soffitto...a meno che non vogliate una scatolaccia nera appesa al soffitto è un acquisto da evitare...meglio attaccare una cordicella più lunga a quella che comanda la velocità ed è meno kitch di questa pacchianata...","","","","","I do not even know whether it works. It is one of the most useless purchases I have made. Both the plastic case and the internal board are too large to fit inside any ceiling-fan canopy. Unless you want an ugly black box hanging from the ceiling, avoid this product. It would be better to attach a longer pull cord to the existing speed control.","我甚至不知道它是否能工作。这是我买过最没用的产品之一。塑料外壳和内部电路板都太大，无法装进任何吊扇的装饰罩。如果不想让一个难看的黑盒子挂在天花板上，就不要购买。还不如给原有速度控制拉绳接一根更长的绳子。","产品适配"
"142","王昭坤","2026/07/14","FLC05-E220V","兼容性","هل تتواقق هذه مع  مصباح المروحة الخاص بس
MODEL: JJ-M-TDB+LED+AC
LED:18-24WX2 01 Small Trefoil Conjoined
هذا شكل الاسلاك عندي
وهذا جهاز التحكم القديم
","مرحبًا، لقد قمت بمراجعة الصورة التي أرسلتها بعناية، ويؤسفني أن أقول إنها غير متوافقة.
السبب هو أن طرف الإخراج غير متوافق.
نقطة النهاية لدينا ثابتة.
أبيض: السلك المحايد
أسود: مروحة التحكم
أزرق: ضوء التحكم","","ScreenShot_2026-07-14_144049_814.png,ScreenShot_2026-07-14_144057_861.png,ScreenShot_2026-07-14_144111_207.png,ScreenShot_2026-07-14_144010_256.png,ScreenShot_2026-07-14_144020_421.png,ScreenShot_2026-07-14_144034_293.png,ScreenShot_2026-07-14_144027_186.png,ScreenShot_2026-07-14_144041_369.png","","Is this controller compatible with my fan light, model JJ-M-TDB+LED+AC? The LED specification is 18–24 W × 2, type 01 Small Trefoil Conjoined. These are my wires and my old controller.","这个控制器与我的风扇灯兼容吗？型号为 JJ-M-TDB+LED+AC，LED 规格为 18–24 W × 2，类型为 01 Small Trefoil Conjoined。这里是我的接线和旧控制器。","产品适配"
"151","王光琼","2026/07/16","FLC-220V","故障排除","Hi,
I msg to say that the 'low' setting on our fan controller had stopped working. Well, now both Med and Hi are running at the same speed. This was working brilliantly for a couple of weeks, clearly something has failed.
Kins regards","Thanks for the detailed description, and we’re sorry for the trouble with the low speed setting.
Here’s what’s happening in simple terms: when you press low, the fan first spins fast for a few seconds — this is the controller giving it a quick boost to get started, then it drops down to low speed. The fact that this boost works, and medium/high speeds run perfectly, means the remote and controller are working fully as they should.
Low speed runs on lower power, so it has very little extra strength to keep spinning. When a fan gets older, or builds up extra resistance from dust or worn internal parts, low speed is always the first one to struggle and stop, while higher speeds still work fine.
Please try these 3 simple checks:
1. Turn the wall switch off for 60 seconds, then turn it back on and test low speed again to rule out a temporary glitch.
2. With the power off, spin the fan blades by hand. If they feel stiff or don’t spin freely, the fan motor has built up resistance over time — this is very common on older fans.
3. Double-check that all wire connections inside the fan canopy are tight. Loose wires cause a small power drop that only affects the low speed setting.","","","","Hello. I previously reported that LOW on our fan controller had stopped working. Now MED and HI also run at the same speed. It worked very well for a couple of weeks, but something has clearly failed. Kind regards.","你好。我之前反馈过风扇控制器的 LOW 低速档已经停止工作。现在 MED 中速档和 HI 高速档也变成相同速度。它在前两周运行得很好，但现在显然有部件发生了故障。谨致问候。","故障排除"
"154","王光琼","2026/07/17","FLC-220V","兼容性","Hi, I installed the QIACHIP ceiling fan remote control (featuring 3 speeds, light control, and 4 timer settings for 220V/230V ceiling fan lamps), but there is hardly any difference between the LOW and HIGH fan speeds. Curiously, the highest speed occurs at the MID setting. Can you help us with this issue? The previous controller provided a higher fan speed. Thanks.","Hi,
Before installing the controller, please switch off the power at the mains for safety.
If your ceiling fan has an original speed control, please make sure it is set to the highest speed (High) before connecting our receiver.
Depending on your fan model:
• Pull chain: Pull the chain until the fan is running at the highest speed (usually High is the fastest setting).
• Wall switch or wall speed controller: Move the speed switch or slider to the highest (High) position.
• Rotary speed knob: Turn the knob fully to the maximum speed.
If your fan has only an ON/OFF wall switch and no built-in speed selector, no adjustment is required.
Also, please leave the original light switch ON before using our remote control.
Do not use the original fan speed control after installing the receiver. Use only the remote control to change the fan speed.","","","","Hello. I installed the QIACHIP 220 V/230 V ceiling-fan remote controller with three speeds, light control, and four timer settings. There is almost no difference between LOW and HI. Strangely, the highest speed occurs on MED. Can you help with this issue? The previous controller provided a higher maximum fan speed. Thank you.","你好。我安装了 QIACHIP 220 V/230 V 吊扇灯遥控器，该产品带三档风速、灯光控制和四档定时功能。但 LOW 低速档和 HI 高速档之间几乎没有区别，而且最高速度反而出现在 MED 中速档。能否帮助解决这个问题？之前的控制器能够提供更高的最高风速。谢谢。","故障排除"
